ENSG00000093100	XXbac-B461K10.4
ENSG00000099869	IGF2-AS
ENSG00000115934	RP11-153K16.2
ENSG00000116652	DLEU2L
ENSG00000117242	PINK1-AS
ENSG00000120664	SPG20OS
ENSG00000122043	LINC00544
ENSG00000124835	AC105760.3
ENSG00000124915	DKFZP434K028
ENSG00000125514	LINC00029
ENSG00000125804	FAM182A
ENSG00000131007	TTTY9B
ENSG00000131484	RP11-798G7.5
ENSG00000132204	LINC00470
ENSG00000132832	LINC01260
ENSG00000145063	FLJ33534
ENSG00000146521	C6orf123
ENSG00000146666	LINC00525
ENSG00000149656	LINC00266-1
ENSG00000151303	AGAP11
ENSG00000152931	PART1
ENSG00000153363	LINC00467
ENSG00000157306	THTPA
ENSG00000162888	C1orf147
ENSG00000162947	AC007364.1
ENSG00000163364	LINC01116
ENSG00000163597	SNHG16
ENSG00000163915	C3orf65
ENSG00000164621	SMAD5-AS1
ENSG00000166770	ZNF667-AS1
ENSG00000166917	MIR202HG
ENSG00000167046	RP11-93B14.6
ENSG00000167459	LINC00905
ENSG00000167912	RP11-25K19.1
ENSG00000168367	LINC00917
ENSG00000170161	GLIDR
ENSG00000170919	TPT1-AS1
ENSG00000170983	LINC00208
ENSG00000171671	SHANK2-AS3
ENSG00000172965	MIR4435-1HG
ENSG00000173811	CCDC13-AS1
ENSG00000173862	RP11-89N17.1
ENSG00000174171	RP11-23P13.6
ENSG00000174365	SNHG11
ENSG00000174403	C20orf166-AS1
ENSG00000174680	GRIK1-AS1
ENSG00000175147	TMEM51-AS1
ENSG00000175604	RP11-276H1.3
ENSG00000175611	LINC00476
ENSG00000175772	LINC01106
ENSG00000175773	RP11-121M22.1
ENSG00000175967	FLJ34503
ENSG00000176320	RP11-404O13.5
ENSG00000176349	AC110781.3
ENSG00000176515	RP5-856G1.2
ENSG00000176593	CTD-2368P22.1
ENSG00000176728	TTTY14
ENSG00000176754	LINC00303
ENSG00000176868	RP11-334J6.7
ENSG00000176984	AP000679.2
ENSG00000177112	MRVI1-AS1
ENSG00000177133	LINC00982
ENSG00000177234	C10orf85
ENSG00000177337	DLGAP1-AS1
ENSG00000177338	LINC00469
ENSG00000177340	FLJ13224
ENSG00000177369	FLJ40194
ENSG00000177406	RP11-218M22.1
ENSG00000177410	ZFAS1
ENSG00000177553	RP11-56N19.5
ENSG00000177596	RP11-512C24.3
ENSG00000177640	CASC2
ENSG00000177699	RP11-16K12.1
ENSG00000177725	CTD-2530N21.5
ENSG00000177738	CTD-2201E18.3
ENSG00000177757	FAM87B
ENSG00000177822	MGC45800
ENSG00000177993	ZNRF3-AS1
ENSG00000178130	FAM27L
ENSG00000178248	AP000345.1
ENSG00000178412	RP11-567M16.3
ENSG00000178722	C5orf64
ENSG00000178803	ADORA2A-AS1
ENSG00000178977	LINC00324
ENSG00000179028	RP11-363G10.2
ENSG00000179082	C9orf106
ENSG00000179136	LINC00670
ENSG00000179141	MTUS2-AS1
ENSG00000179219	LINC00311
ENSG00000179253	RP11-429E11.3
ENSG00000179406	LINC00174
ENSG00000179447	RP5-1027G4.3
ENSG00000179523	EIF3J-AS1
ENSG00000179577	KB-1552D7.2
ENSG00000179676	LINC00305
ENSG00000179755	CTD-2144E22.5
ENSG00000179840	C1orf200
ENSG00000179935	LINC00652
ENSG00000180139	ACTA2-AS1
ENSG00000180422	LINC00304
ENSG00000180458	CTD-3064H18.4
ENSG00000180712	RP11-290F5.2
ENSG00000180769	WDFY3-AS2
ENSG00000180846	CSNK1G2-AS1
ENSG00000180861	C12orf36
ENSG00000180869	C1orf180
ENSG00000181097	BREA2
ENSG00000181123	RP4-539M6.14
ENSG00000181171	FER1L6-AS1
ENSG00000181211	HECW1-IT1
ENSG00000181798	LINC00471
ENSG00000181800	CELF2-AS1
ENSG00000181908	AP003774.4
ENSG00000182057	OGFRP1
ENSG00000182366	FAM87A
ENSG00000182376	RP5-1142A6.8
ENSG00000182586	LINC00334
ENSG00000182648	LINC01006
ENSG00000182776	RP11-114H20.1
ENSG00000182824	AC008132.15
ENSG00000182912	C21orf90
ENSG00000183154	RP11-863K10.7
ENSG00000183242	WT1-AS
ENSG00000183250	C21orf67
ENSG00000183308	AC005037.3
ENSG00000183470	FLJ40288
ENSG00000183535	COL18A1-AS1
ENSG00000183562	CTC-343N3.1
ENSG00000183674	LINC00518
ENSG00000184068	RP5-821D11.7
ENSG00000184224	C11orf72
ENSG00000184274	LINC00315
ENSG00000184385	C21orf128
ENSG00000184441	AP001062.7
ENSG00000184566	RP13-786C16.1
ENSG00000184608	C8orf12
ENSG00000184809	C21orf88
ENSG00000185065	AC000068.5
ENSG00000185186	LINC00313
ENSG00000185433	LINC00158
ENSG00000185700	TTTY8B
ENSG00000185847	LINC01405
ENSG00000185904	LINC00839
ENSG00000186019	AC084219.4
ENSG00000186056	MATN1-AS1
ENSG00000186235	AC016757.3
ENSG00000186615	KTN1-AS1
ENSG00000186960	C14orf23
ENSG00000187185	CTD-2600O9.1
ENSG00000187229	RP11-161I2.1
ENSG00000187621	TCL6
ENSG00000187979	AC008079.9
ENSG00000188185	LINC00265
ENSG00000188242	PP7080
ENSG00000188280	FAM230A
ENSG00000188365	AC092171.2
ENSG00000188511	C22orf34
ENSG00000188660	LINC00319
ENSG00000188825	LINC00910
ENSG00000189196	LINC00994
ENSG00000189223	PAX8-AS1
ENSG00000189229	AC069277.2
ENSG00000189238	LINC00943
ENSG00000189275	LINC01164
ENSG00000189295	ANKRD62P1-PARP4P3
ENSG00000189316	RP11-797H7.5
ENSG00000189419	SPATA41
ENSG00000196096	AC079610.2
ENSG00000196167	COLCA1
ENSG00000196243	LINC00615
ENSG00000196273	LINC00523
ENSG00000196566	RP11-57C13.3
ENSG00000196668	LINC00173
ENSG00000196696	PDXDC2P
ENSG00000196741	CXorf24
ENSG00000196756	SNHG17
ENSG00000196758	AC079612.1
ENSG00000196810	CTBP1-AS2
ENSG00000196893	AC090286.4
ENSG00000196951	SCOC-AS1
ENSG00000196979	RP11-88G17.6
ENSG00000197085	NPSR1-AS1
ENSG00000197099	RP11-573D15.8
ENSG00000197176	RP11-76E12.1
ENSG00000197180	CH17-340M24.3
ENSG00000197182	MIRLET7BHG
ENSG00000197210	KB-1592A4.15
ENSG00000197251	LINC00336
ENSG00000197291	RAMP2-AS1
ENSG00000197301	RP11-366L20.2
ENSG00000197332	ZNF833P
ENSG00000197503	LINC00477
ENSG00000197665	AC007952.6
ENSG00000197670	RP4-724E16.2
ENSG00000197815	RP1-253P7.4
ENSG00000197934	CYYR1-AS1
ENSG00000198106	SNX29P2
ENSG00000198358	RP11-544M22.1
ENSG00000198454	PRR31
ENSG00000198468	FLVCR1-AS1
ENSG00000198491	RP11-208N14.4
ENSG00000198671	RP11-168J19.2
ENSG00000198711	SSBP3-AS1
ENSG00000203258	RP11-47J17.2
ENSG00000203266	RP11-560A15.3
ENSG00000203280	CTA-221G9.12
ENSG00000203288	RP11-98D18.9
ENSG00000203325	RP11-277A4.4
ENSG00000203327	AC012358.7
ENSG00000203334	RP11-25I9.3
ENSG00000203335	AC006019.3
ENSG00000203356	RP11-296A18.3
ENSG00000203362	RP3-337H4.8
ENSG00000203392	CTD-2026K11.6
ENSG00000203395	AC015969.3
ENSG00000203402	RP11-571E6.3
ENSG00000203441	LINC00449
ENSG00000203446	AC004988.1
ENSG00000203497	PDCD4-AS1
ENSG00000203506	RBMS3-AS2
ENSG00000203527	Z99756.1
ENSG00000203585	RP11-542B15.1
ENSG00000203605	RP11-335E6.2
ENSG00000203620	RP11-84A19.2
ENSG00000203635	AC144450.2
ENSG00000203643	AC012456.3
ENSG00000203644	RP11-332M2.1
ENSG00000203645	LINC00501
ENSG00000203650	LINC01285
ENSG00000203684	IBA57-AS1
ENSG00000203688	RP11-351J23.1
ENSG00000203706	SERTAD4-AS1
ENSG00000203709	C1orf132
ENSG00000203721	LINC00862
ENSG00000203739	RP11-296O14.3
ENSG00000203801	LINC00222
ENSG00000203804	ADAMTSL4-AS1
ENSG00000203808	BVES-AS1
ENSG00000203865	ATP1A1-AS1
ENSG00000203875	SNHG5
ENSG00000203876	RP11-451M19.3
ENSG00000203897	SPATA42
ENSG00000203900	RP11-261N11.8
ENSG00000203930	LINC00632
ENSG00000203971	RP13-379L11.2
ENSG00000203987	RP11-188C12.3
ENSG00000203999	LINC01270
ENSG00000204044	RP11-465L10.10
ENSG00000204049	RP11-126H7.4
ENSG00000204054	LINC00963
ENSG00000204055	RP11-247A12.2
ENSG00000204117	RP4-640H8.2
ENSG00000204241	RP11-713P17.3
ENSG00000204261	PSMB8-AS1
ENSG00000204277	RP11-219G17.4
ENSG00000204283	FLJ45079
ENSG00000204362	RP11-380J14.1
ENSG00000204380	AC005042.4
ENSG00000204393	RP11-410N8.4
ENSG00000204398	RP11-65D24.2
ENSG00000204460	AC079586.1
ENSG00000204528	PSORS1C3
ENSG00000204581	AC096670.3
ENSG00000204584	RP11-304F15.3
ENSG00000204588	LINC01123
ENSG00000204603	LINC01257
ENSG00000204625	HCG9
ENSG00000204685	STARD7-AS1
ENSG00000204706	MAMDC2-AS1
ENSG00000204754	FLJ16171
ENSG00000204758	CTC-308K20.1
ENSG00000204792	LINC01291
ENSG00000204802	RP11-111F5.4
ENSG00000204814	RP11-160N1.10
ENSG00000204832	ST8SIA6-AS1
ENSG00000204850	CTB-158D10.3
ENSG00000204860	FAM201A
ENSG00000204876	AC021218.2
ENSG00000204929	AC074391.1
ENSG00000204934	ATP6V0E2-AS1
ENSG00000204971	RP11-807H22.7
ENSG00000204990	RP5-842K16.1
ENSG00000205015	RP11-46C24.3
ENSG00000205018	RP11-830F9.6
ENSG00000205037	RP11-863P13.4
ENSG00000205041	CTC-425O23.2
ENSG00000205054	LINC01121
ENSG00000205056	RP11-693J15.5
ENSG00000205181	LINC00654
ENSG00000205231	TTLL10-AS1
ENSG00000205293	RP11-1112C15.1
