"","logFC","logCPM","PValue","FDR"
"ENSG00000239474",-4.87106163072348,-0.338009530271715,2.51092960287093e-98,6.98364850446493e-94
"ENSG00000101605",-4.59396341750737,2.08748814919962,5.65098913689572e-95,7.85854804322403e-91
"ENSG00000163380",-3.91495627125632,-1.75057114035036,1.27879583997439e-91,1.18557162324026e-87
"ENSG00000163815",-4.47440475213947,1.92863354105422,2.99998132647391e-90,2.08596201583047e-86
"ENSG00000077157",-3.97080401136653,6.04812507880103,1.20437248346903e-83,6.69944237654484e-80
"ENSG00000112425",-2.70239439274318,1.85231285080389,3.52215508923207e-83,1.63269499161353e-79
"ENSG00000068976",-4.71867673485126,1.54562019893153,4.48780167635812e-82,1.78313182892212e-78
"ENSG00000183963",-3.30497317671017,6.44956355733763,1.09597490874941e-81,3.60604577948328e-78
"ENSG00000115556",-2.95178669373239,1.52715983878944,1.16687922968934e-81,3.60604577948328e-78
"ENSG00000228789",-7.05246418981639,-0.709879714153946,8.81555595237473e-81,2.45187057703398e-77
"ENSG00000159176",-3.39179314591908,7.9921579491103,2.67489134314459e-80,6.76334117517095e-77
"ENSG00000229619",-4.0373035224199,2.21233440383711,4.5127136958041e-80,1.04593421684499e-76
"ENSG00000182253",-5.43627307582411,6.65764394025355,5.02419835671538e-78,1.07490791457942e-74
"ENSG00000163681",-2.65408261555834,5.6528157624934,6.67594265580191e-78,1.26328814176273e-74
"ENSG00000118526",-4.28999291381293,1.99089210538679,6.8131169332474e-78,1.26328814176273e-74
"ENSG00000079308",-4.32506933339948,7.12205594124282,8.54555836415111e-77,1.48548509238834e-73
"ENSG00000118407",-4.3670355010619,2.56752575587029,7.82405920763535e-76,1.28006211024684e-72
"ENSG00000263065",-5.37366891993838,-2.06574769664507,2.70877772452931e-74,4.18551304735187e-71
"ENSG00000261616",-4.33178317602521,-0.351638469798142,3.2784858836855e-72,4.79918567804972e-69
"ENSG00000108924",-4.71432784606256,1.3009176966388,1.75398546907384e-71,2.43917989256754e-68
"ENSG00000196666",-5.06540261636571,-3.16749356617846,5.36031984716484e-71,7.09936075758075e-68
"ENSG00000172403",-5.13535025597212,6.80466688028427,5.96763168511215e-71,7.5444427299102e-68
"ENSG00000165410",-3.28057748269829,4.14970783206256,1.17471581172635e-67,1.42053786398021e-64
"ENSG00000148339",-2.73101591735828,4.05289074575874,6.09867406631275e-67,7.06760090859819e-64
"ENSG00000145012",-2.8532179018767,6.84497391905582,5.35699938695786e-66,5.95976895797836e-63
"ENSG00000065325",-5.29682862013908,0.620379956324384,3.12958999909989e-65,3.34781871711404e-62
"ENSG00000065534",-4.27739535125279,7.04372325153017,3.85329843888127e-65,3.9693255363187e-62
"ENSG00000140416",-3.46250704487044,7.63216746099411,4.05878481992999e-65,4.03167793559689e-62
"ENSG00000121577",-4.11437248836825,2.51866742480886,4.21347687050155e-65,4.04101490342274e-62
"ENSG00000135842",-3.77723391665847,5.7182342080548,6.12183665963301e-64,5.67555476714576e-61
"ENSG00000181856",-4.81324646981096,1.81889185819425,7.15200682945452e-64,6.41673438540705e-61
"ENSG00000185437",-2.94922325472461,1.6445611342503,5.71005538868699e-63,4.96293032892348e-60
"ENSG00000259370",-4.72997002334696,-0.989541198818565,1.19776281441496e-62,1.00949627749464e-59
"ENSG00000144655",-2.7879770057762,5.07302859562592,5.25171057356566e-62,4.2960537112524e-59
"ENSG00000128591",-5.0415505593322,6.46863820075291,2.37102776487151e-61,1.88415414926775e-58
"ENSG00000091436",-3.09532883281793,5.49156114542105,6.19396478158385e-61,4.78535395750533e-58
"ENSG00000168079",-5.18678780385554,2.64145128869152,9.23750842147446e-61,6.94386004666133e-58
"ENSG00000141052",-4.83324108544543,2.72503441591398,3.22619906563816e-60,2.3613230161209e-57
"ENSG00000143772",-2.15400631146897,4.8564131702788,8.2366726044715e-60,5.87401474738887e-57
"ENSG00000156113",-4.12123425620764,3.43574384844912,1.10083160071975e-59,7.65435732770459e-57
"ENSG00000198838",-3.01425965219666,0.447574106494243,2.13971257069382e-59,1.45150794460262e-56
"ENSG00000106034",-3.96089263396512,2.76223782887149,3.11295504403179e-59,2.06144330094419e-56
"ENSG00000075073",-4.41482659397183,1.63233355709731,1.89269137616175e-58,1.22421919174853e-55
"ENSG00000197321",-2.95375570359123,6.48603435806302,2.42003111341728e-58,1.52973466721533e-55
"ENSG00000133392",-5.37257275645453,9.8071755263793,1.3908526340518e-57,8.59639651352948e-55
"ENSG00000197361",-3.54838849411326,1.29561300163362,2.31110900324553e-57,1.39736684146235e-54
"ENSG00000095637",-4.36361480849563,5.74946839222935,2.89285935739499e-57,1.71189568738781e-54
"ENSG00000123358",-3.82408101121846,6.51604381575913,1.2535038534791e-56,7.26327139100297e-54
"ENSG00000111696",-2.79663018934647,3.29845432334082,2.09182432770721e-56,1.18734510258205e-53
"ENSG00000123570",-3.62098575724917,1.08339010862846,1.24626153846395e-55,6.93245443385956e-53
"ENSG00000241158",-4.98775812858138,0.708482827155535,1.80928470920077e-55,9.82987530160786e-53
"ENSG00000058272",-1.97172335025146,5.61221127678772,1.8378222977874e-55,9.82987530160786e-53
"ENSG00000267505",-4.99467402333063,0.205834816277644,2.7575014593966e-55,1.44706392623014e-52
"ENSG00000022267",-4.37860206655906,5.72871823626797,1.27103182826143e-54,6.54652004433985e-52
"ENSG00000197256",-2.8601848415532,5.93530232074033,2.13426225045948e-54,1.07927701767327e-51
"ENSG00000198932",-3.12967656737814,2.25756642952306,2.94652056131251e-54,1.46342100663901e-51
"ENSG00000120738",-3.43019077129379,7.57756655067048,3.49294883028648e-54,1.70437518976768e-51
"ENSG00000168477",-4.31534784790775,3.75789685765995,3.8356923842116e-54,1.83934676348409e-51
"ENSG00000232855",-4.50947800546925,0.824401554071339,3.96861851375395e-54,1.87083367327184e-51
"ENSG00000164188",-4.65806223624467,0.184905656843594,4.67852715619848e-54,2.16873126325581e-51
"ENSG00000125868",-1.99157784448012,8.17204769607712,9.86890279528884e-54,4.49973431877653e-51
"ENSG00000059915",-3.88888996019938,3.47658444449817,1.59928561373422e-53,7.1743436733532e-51
"ENSG00000153179",-2.38139914529759,4.77831778959892,2.06020107213499e-53,9.09529720941118e-51
"ENSG00000168497",-3.84245624796748,3.63363425188236,5.27291852068564e-53,2.29149504399734e-50
"ENSG00000154330",-4.82673069068368,4.81484499966609,1.54810786794925e-52,6.62423448173423e-50
"ENSG00000150764",-3.19657573253311,3.31459907739023,1.88624605418043e-52,7.94881234923035e-50
"ENSG00000101335",-3.90621655325061,8.42213404168668,2.37005508175502e-52,9.83855850579887e-50
"ENSG00000100307",-2.48993510632908,4.23401802139888,2.49509826833282e-52,1.00991116851047e-49
"ENSG00000167281",-5.24783828495001,1.81011829400088,2.50544244156409e-52,1.00991116851047e-49
"ENSG00000156218",-4.28798513799717,1.19790259009426,2.91743133731992e-52,1.15917882549827e-49
"ENSG00000151320",-3.84256337008188,1.88989772088269,3.64951492689461e-52,1.4296332205876e-49
"ENSG00000095303",-4.32722629868707,5.58227388183247,8.84643055482489e-52,3.41730240307423e-49
"ENSG00000148411",-2.51837547357188,4.29688685355543,1.13102275675664e-51,4.30919670324279e-49
"ENSG00000138944",-4.33454964550511,2.11915071632041,1.22922929129431e-51,4.62007490253629e-49
"ENSG00000267405",-5.16345952759971,-0.256473813527809,1.4005252568157e-51,5.19370786237535e-49
"ENSG00000168309",-4.03160254453524,2.55034961708799,1.50034774774925e-51,5.49068051423027e-49
"ENSG00000187239",-2.43551326364726,5.14058384672783,2.0887071954517e-51,7.54457314637639e-49
"ENSG00000172260",-4.1808001256709,2.58769730141938,2.20535388886406e-51,7.86378303986871e-49
"ENSG00000072163",-3.42507307652631,4.43576219316077,4.71758453788424e-51,1.66088833863512e-48
"ENSG00000077943",-3.43266176816407,2.97181756974924,4.7846251437478e-51,1.66343473903822e-48
"ENSG00000117600",-3.60249782541642,1.115841570216,6.19997477518744e-51,2.12888763484306e-48
"ENSG00000198947",-3.87586027167229,3.55641784068807,1.0826219312882e-50,3.67206875303887e-48
"ENSG00000121671",-1.69846777927581,4.20584754747589,1.5916664441271e-50,5.33361672415748e-48
"ENSG00000154734",-3.39926419796441,5.88745211531629,1.84377355024644e-50,6.10486592297668e-48
"ENSG00000126218",-3.68045464667583,0.5695430019537,1.88664892105885e-50,6.17333722840114e-48
"ENSG00000132840",-4.05833136904943,0.457159751656457,1.92069961733178e-50,6.21167656474986e-48
"ENSG00000112658",-1.70557103183044,5.66209899356344,2.73056624029556e-50,8.72933779785522e-48
"ENSG00000278309",-5.10707247312049,0.879957751221261,3.16100267593689e-50,9.99056448020827e-48
"ENSG00000158445",-4.76618852651116,0.0607322912517227,4.4297827904301e-50,1.38433200842958e-47
"ENSG00000123243",-3.58739054574832,4.41447212462264,5.76606896692568e-50,1.78190751307893e-47
"ENSG00000172348",-3.25052071319154,3.39068858999222,7.38502715556441e-50,2.25714022283201e-47
"ENSG00000163431",-4.44365149705571,5.83918626740153,1.51884231957154e-49,4.59169146024384e-47
"ENSG00000129116",-3.14728181803029,7.03304273890372,1.81220209506123e-49,5.41965342687506e-47
"ENSG00000163145",-3.75491972908362,0.968057689671633,3.46646048709636e-49,1.02566665454905e-46
"ENSG00000196924",-3.29150603638553,9.97050037860664,5.47160388633919e-49,1.60191283042897e-46
"ENSG00000225398",-5.26413042278439,-2.53923466481639,1.06882604996922e-48,3.09658947164521e-46
"ENSG00000004776",-4.76005303917126,4.80263879988981,1.19981552539106e-48,3.44025455749501e-46
"ENSG00000197766",-3.71098672174697,4.56776622633203,1.80377155877638e-48,5.11921411880075e-46
"ENSG00000162407",-2.37966340029815,5.2316456201288,2.21172967980853e-48,6.21361995803178e-46
"ENSG00000154678",-3.81011095272172,1.25158930184515,2.45293251982153e-48,6.82234121737962e-46
"ENSG00000196557",-3.61296378510947,4.20726513349863,4.92690735838235e-48,1.35675321147216e-45
"ENSG00000116473",-1.53761410779583,5.66512746092917,8.8785997949813e-48,2.42098525586093e-45
"ENSG00000154556",-3.65380988168163,4.26427743960369,1.21727117036062e-47,3.28698670497475e-45
"ENSG00000179388",-3.72008371556048,3.23160141270393,1.67635723765271e-47,4.48312729334949e-45
"ENSG00000128849",-3.29185419363566,2.77468659787522,1.69354784507393e-47,4.48596630619441e-45
"ENSG00000112210",-2.99877110549361,3.23548192664737,2.41041490145618e-47,6.32461034473592e-45
"ENSG00000254510",-4.25491903261949,-0.952700576906598,3.71933172770663e-47,9.66782928436492e-45
"ENSG00000132837",-2.82803131203553,-1.32316110243042,4.04770470385716e-47,1.04239639748499e-44
"ENSG00000164530",-5.54624905839274,3.44048359935241,4.2110326944117e-47,1.07450873696947e-44
"ENSG00000128016",-2.91824984604837,7.90202921739464,5.84396306337559e-47,1.47761949710605e-44
"ENSG00000241684",-4.0067304953423,-1.39880976873043,9.34543385912327e-47,2.3416626299441e-44
"ENSG00000104936",-2.13454914576259,5.29865316765561,1.41722272788458e-46,3.51939426166551e-44
"ENSG00000112320",-3.25531554273929,1.91448817590797,2.10243336112607e-46,5.17477690911499e-44
"ENSG00000137076",-2.06696739043922,7.85367480781053,2.83205405292113e-46,6.90946661174521e-44
"ENSG00000145936",-3.91992668781674,3.28866483245483,2.96460646923849e-46,7.16996519382e-44
"ENSG00000269186",-4.07802005480258,-0.706462016978162,4.03021234377958e-46,9.66312895840874e-44
"ENSG00000174099",-3.580607269266,4.63353792844597,4.5159011934788e-46,1.07351076832672e-43
"ENSG00000133710",-4.54587471654095,4.7954396749169,4.9108769626759e-46,1.15751034714326e-43
"ENSG00000152049",-3.61600973888057,2.74662153514849,6.65333877289157e-46,1.55503622933137e-43
"ENSG00000268505",-4.20299754106372,-1.74322806413803,6.80406309606401e-46,1.57701172409024e-43
"ENSG00000166831",-3.68771307632633,3.01893582473776,9.37044141048427e-46,2.15388501611404e-43
"ENSG00000132326",-2.21007405636273,3.71144090952388,1.05263286047596e-45,2.39974407773917e-43
"ENSG00000160613",-1.98557523319725,4.28875740267633,1.12783696572573e-45,2.55028695347397e-43
"ENSG00000119508",-3.86959247214473,3.60090855302582,1.24940612747009e-45,2.80239779220368e-43
"ENSG00000034971",-5.5904678066022,0.136010285547668,2.75981621778613e-45,6.14070147722284e-43
"ENSG00000122786",-3.17768404732121,7.61130049022537,4.25623901338781e-45,9.39514092693296e-43
"ENSG00000076555",-2.80571766319655,3.35038971053254,4.36347212751789e-45,9.55600395926417e-43
"ENSG00000165124",-3.11710368066181,3.13918038611064,4.59608736528427e-45,9.98679514770714e-43
"ENSG00000170153",-3.58445314008265,2.42630102400784,5.7726767498752e-45,1.24461595693239e-42
"ENSG00000198624",-2.7924747388711,4.91529142858646,7.67598268929809e-45,1.64224697336498e-42
"ENSG00000185873",-8.10565367015497,0.0352389527822053,9.04192781728687e-45,1.91971861360458e-42
"ENSG00000134769",-3.97078633335724,2.9487373976458,1.08609462267927e-44,2.28845073792261e-42
"ENSG00000170271",-2.83120444618637,2.45109341655996,1.15142048698839e-44,2.40785398530888e-42
"ENSG00000150995",-2.79956487391937,4.23947498391145,2.19706106512858e-44,4.56021338838964e-42
"ENSG00000198961",-1.86731805894996,5.5919028482701,2.36933119631472e-44,4.88134878245194e-42
"ENSG00000143536",-8.55908279634626,4.80562304372299,2.80770043238163e-44,5.74195383278164e-42
"ENSG00000226306",-4.99838887615387,-0.667525182381586,3.14283602605817e-44,6.38041594107708e-42
"ENSG00000155970",-3.28521967171163,-0.0622484589295868,3.86389579428631e-44,7.78742998018009e-42
"ENSG00000162614",-3.35637428366477,3.5631765870097,4.00501525846129e-44,8.01377621464632e-42
"ENSG00000130176",-4.64128098868725,7.07498367862943,6.17069670441056e-44,1.22589705314122e-41
"ENSG00000148357",-3.70977396064176,1.98553815036295,8.66884249840013e-44,1.69869969874254e-41
"ENSG00000147166",-2.72859889533737,0.279672569899761,8.67275580561033e-44,1.69869969874254e-41
"ENSG00000163820",-2.03801711507113,5.21771185419584,1.07799098204878e-43,2.0966547680925e-41
"ENSG00000204544",-6.46010290276388,3.29144694727551,1.32671701148431e-43,2.56249862780646e-41
"ENSG00000108405",-4.46174536853053,2.92374028036325,1.48131871589771e-43,2.84137361691468e-41
"ENSG00000227954",-3.90559275284729,-1.74263128942307,1.75680940985621e-43,3.34672192577607e-41
"ENSG00000127951",-3.54825288546875,4.29679680535888,2.54559065109694e-43,4.81636141353464e-41
"ENSG00000109846",-3.71790168180747,4.46959501126798,2.82455975377614e-43,5.30807300214702e-41
"ENSG00000106772",-4.44364419018738,4.13560889547836,4.11942897051718e-43,7.68950858771775e-41
"ENSG00000280551",-4.07580744075297,-2.53404775851881,5.34397255823962e-43,9.90879391748791e-41
"ENSG00000068024",-2.11000047230873,3.26528473124885,1.09121138056653e-42,2.00992464421834e-40
"ENSG00000152583",-3.14788167068045,6.76474200149938,2.07021198780265e-42,3.78807934320758e-40
"ENSG00000279484",-4.24621952321604,-3.33746518056975,2.87050975078811e-42,5.21813645089345e-40
"ENSG00000148516",-2.94347335966746,3.96185668496713,2.89073497527559e-42,5.22077999138572e-40
"ENSG00000148180",-2.43037079427972,8.35288960510967,3.44078483279582e-42,6.17409990674517e-40
"ENSG00000153446",-4.34227573562604,0.888228624898859,6.16014666177836e-42,1.09828307117975e-39
"ENSG00000127528",-2.89132827200917,3.76683114283886,1.01210983304101e-41,1.79298157874966e-39
"ENSG00000137124",-2.63493998917324,5.3923651565146,1.40188544763695e-41,2.46776202247636e-39
"ENSG00000165966",-4.86427550657792,1.11902316850643,1.65504967309877e-41,2.89508783382994e-39
"ENSG00000120129",-3.10440963209579,7.56004446694367,2.09590187764286e-41,3.64333243268005e-39
"ENSG00000131471",-3.47722480508103,5.0606315304914,2.23576732901417e-41,3.86232277775597e-39
"ENSG00000207980",-3.83975799349163,-2.78948564127732,2.79894184548319e-41,4.80536849064346e-39
"ENSG00000168906",-1.69501498096157,6.5468950130776,4.15946626962474e-41,7.0973764022744e-39
"ENSG00000097007",-1.65941827977805,5.88660417239131,4.29585893283138e-41,7.28541003041702e-39
"ENSG00000165197",-3.74000761819714,0.0305632320965974,5.29279525906545e-41,8.92172815396288e-39
"ENSG00000165995",-3.17237831147748,1.36333802144026,6.35254171908756e-41,1.06435688453604e-38
"ENSG00000259291",-2.47236354750085,1.37623493696513,9.53610357738015e-41,1.58818951375853e-38
"ENSG00000189134",-3.2090428830127,-2.39710752256261,1.3375072683325e-40,2.21429105084118e-38
"ENSG00000149090",-2.86487140694993,2.88588812681036,3.2226686191356e-40,5.30367350911351e-38
"ENSG00000171368",-3.41068287916067,2.35844003236641,4.67191216345582e-40,7.64352311777627e-38
"ENSG00000164736",-2.89055900462384,1.16745261209319,5.13196120727551e-40,8.34708988643004e-38
