GBM_TCGA.02.0055	GBM_TCGA.06.0221	GBM_TCGA.06.0743	GBM_TCGA.06.0744	GBM_TCGA.19.1389	GBM_TCGA.19.2624	GBM_TCGA.28.2514	GBM_TCGA.32.2634	GBM_TCGA.41.5651	GBM_TCGA.76.4932
CFTR	0	0	0	0	0	1	0	1	0	0
HECW1	0	0	0	0	0	1	0	1	0	0
MAD1L1	0	0	0	0	0	1	0	1	0	0
ARF5	0	0	0	0	0	1	0	1	0	0
ABCB5	0	0	0	0	0	1	0	1	0	0
CALCR	0	0	0	0	0	1	0	1	0	0
SKAP2	0	0	0	0	0	1	0	1	0	0
HOXA11	0	0	0	0	0	1	0	1	0	0
PRKAR2B	0	0	0	0	0	1	0	1	0	0
PON1	0	0	0	0	0	1	0	1	0	0
ABCB4	0	0	0	0	0	1	0	1	0	0
ASB4	0	0	0	0	0	1	0	1	0	0
TAC1	0	0	0	0	0	1	0	1	0	0
RALA	0	0	0	0	0	1	0	1	0	0
BAIAP2L1	0	0	0	0	0	1	0	1	0	0
ETV1	0	0	0	0	0	1	0	1	0	0
AGK	0	0	0	0	0	1	0	1	0	0
CCL26	0	0	0	0	0	1	0	1	0	0
DBF4	0	0	0	0	0	1	0	1	0	0
IFRD1	0	0	0	0	0	1	0	1	0	0
GTF2IRD1	0	0	0	0	0	1	0	1	0	0
VPS41	0	0	0	0	0	1	0	1	0	0
UBE3C	0	0	0	0	0	1	0	1	0	0
BAZ1B	0	0	0	0	0	1	0	1	0	0
RNF216	0	0	0	0	0	1	0	1	0	0
ALOX5	0	0	0	0	0	1	0	1	0	0
NUB1	0	0	0	0	0	1	0	1	0	0
NUDCD3	0	0	0	0	0	1	0	1	0	0
CUL1	0	0	0	0	1	1	0	0	0	0
HIPK2	0	0	0	0	0	1	0	0	1	0
OAT	0	0	0	1	0	1	0	0	1	0
FSCN1	0	0	0	0	0	1	0	0	1	0
ACTB	0	0	0	0	0	1	0	0	1	0
PAX2	0	0	0	0	0	1	0	0	1	0
NT5C2	0	0	0	0	0	1	0	0	1	0
NFKB2	0	0	0	0	0	1	0	0	1	0
LRCH4	0	0	0	0	0	1	0	0	1	0
AMPH	0	0	0	0	0	1	0	0	1	0
ADCYAP1R1	0	0	0	0	0	1	0	0	1	0
UBE2D4	0	0	0	0	0	1	0	0	1	0
SAR1A	0	0	0	0	1	1	0	0	1	0
DUSP13	0	0	0	0	1	1	0	0	1	0
CNOT4	0	0	0	0	1	1	0	0	1	0
CADPS2	0	0	0	0	1	1	0	0	0	0
SMARCD3	0	0	0	0	1	1	0	0	1	0
PILRA	0	0	0	0	1	1	0	0	0	0
ABCB1	0	0	0	0	1	1	0	0	1	0
AKR1B1	0	0	0	0	0	1	0	0	1	0
EIF2AK1	0	0	0	0	0	1	0	0	1	0
SEPHS1	0	0	0	0	1	1	0	0	0	0
LAT2	0	0	0	0	1	1	0	0	1	0
