,lnc
0,ENSG00000245149
1,ENSG00000257621
2,ENSG00000261098
3,ENSG00000263731
4,ENSG00000225733
5,ENSG00000228223
6,ENSG00000268205
7,ENSG00000260528
8,ENSG00000259248
9,ENSG00000224086
10,ENSG00000249042
11,ENSG00000224116
12,ENSG00000224189
13,ENSG00000253284
14,ENSG00000273301
15,ENSG00000224397
16,ENSG00000224660
17,ENSG00000259820
18,ENSG00000251136
19,ENSG00000250790
20,ENSG00000248092
21,ENSG00000249669
22,ENSG00000162888
23,ENSG00000177640
24,ENSG00000274173
25,ENSG00000259959
26,ENSG00000258701
27,ENSG00000248596
28,ENSG00000172965
29,ENSG00000233008
30,ENSG00000231764
31,ENSG00000259772
32,ENSG00000226816
33,ENSG00000229619
34,ENSG00000234492
35,ENSG00000232677
36,ENSG00000226200
37,ENSG00000272267
38,ENSG00000231607
39,ENSG00000212978
40,ENSG00000242516
41,ENSG00000241472
42,ENSG00000249859
43,ENSG00000257298
44,ENSG00000250742
45,ENSG00000255240
46,ENSG00000233723
47,ENSG00000248323
48,ENSG00000230606
49,ENSG00000273142
50,ENSG00000245060
51,ENSG00000234072
52,ENSG00000234028
53,ENSG00000259974
54,ENSG00000245532
55,ENSG00000224511
56,ENSG00000242125
57,ENSG00000231574
58,ENSG00000251562
59,ENSG00000241860
60,ENSG00000235531
61,ENSG00000177822
62,ENSG00000257379
63,ENSG00000247572
64,ENSG00000228315
65,ENSG00000215769
66,ENSG00000247828
67,ENSG00000269397
68,ENSG00000215256
69,ENSG00000257167
70,ENSG00000261269
71,ENSG00000250303
72,ENSG00000248810
73,ENSG00000214900
74,ENSG00000276672
75,ENSG00000243107
76,ENSG00000245750
77,ENSG00000245648
78,ENSG00000196756
79,ENSG00000189223
80,ENSG00000260244
81,ENSG00000177738
82,ENSG00000186019
83,ENSG00000228624
84,ENSG00000259673
85,ENSG00000226380
86,ENSG00000230615
87,ENSG00000264772
88,ENSG00000225484
89,ENSG00000228549
90,ENSG00000246339
91,ENSG00000280383
92,ENSG00000254389
93,ENSG00000235954
94,ENSG00000235770
95,ENSG00000260966
96,ENSG00000235437
97,ENSG00000246223
98,ENSG00000260398
99,ENSG00000259976
100,ENSG00000212694
101,ENSG00000260032
102,ENSG00000259583
103,ENSG00000272097
104,ENSG00000248429
105,ENSG00000261126
106,ENSG00000205056
107,ENSG00000245904
108,ENSG00000249673
109,ENSG00000260572
110,ENSG00000204054
111,ENSG00000253738
112,ENSG00000246089
113,ENSG00000229852
114,ENSG00000237187
115,ENSG00000241684
116,ENSG00000152931
117,ENSG00000261654
118,ENSG00000247516
119,ENSG00000228794
120,ENSG00000261116
121,ENSG00000259495
122,ENSG00000256546
123,ENSG00000179406
124,ENSG00000259953
125,ENSG00000238164
126,ENSG00000231312
127,ENSG00000222041
128,ENSG00000236008
129,ENSG00000233016
130,ENSG00000259943
131,ENSG00000247556
132,ENSG00000253616
133,ENSG00000250508
134,ENSG00000236901
135,ENSG00000204860
136,ENSG00000203709
137,ENSG00000176593
138,ENSG00000196810
139,ENSG00000239219
140,ENSG00000231064
141,ENSG00000280434
142,ENSG00000240859
143,ENSG00000233452
144,ENSG00000248858
145,ENSG00000213742
146,ENSG00000261326
147,ENSG00000206567
148,ENSG00000250802
149,ENSG00000163597
150,ENSG00000223482
151,ENSG00000228434
152,ENSG00000183250
153,ENSG00000242282
154,ENSG00000273015
155,ENSG00000244879
156,ENSG00000230551
157,ENSG00000258301
158,ENSG00000234899
159,ENSG00000188242
160,ENSG00000245937
161,ENSG00000249592
162,ENSG00000215068
163,ENSG00000256028
164,ENSG00000259865
165,ENSG00000215424
166,ENSG00000240498
167,ENSG00000257337
168,ENSG00000215386
169,ENSG00000246273
170,ENSG00000250337
171,ENSG00000231721
172,ENSG00000251364
173,ENSG00000258754
174,ENSG00000247373
175,ENSG00000269918
176,ENSG00000231889
177,ENSG00000261824
178,ENSG00000236144
179,ENSG00000261094
180,ENSG00000197182
181,ENSG00000093100
182,ENSG00000235703
183,ENSG00000238113
184,ENSG00000241158
185,ENSG00000214049
186,ENSG00000234608
187,ENSG00000237037
188,ENSG00000232931
189,ENSG00000225431
190,ENSG00000226688
191,ENSG00000259834
192,ENSG00000258441
193,ENSG00000255036
194,ENSG00000236778
195,ENSG00000260034
196,ENSG00000245694
197,ENSG00000258334
198,ENSG00000185904
199,ENSG00000214145
200,ENSG00000234456
201,ENSG00000235724
