"","non-drivers"
"1","ENSG00000099869"
"2","ENSG00000115934"
"3","ENSG00000117242"
"4","ENSG00000120664"
"5","ENSG00000122043"
"6","ENSG00000124835"
"7","ENSG00000124915"
"8","ENSG00000125514"
"9","ENSG00000125804"
"10","ENSG00000131007"
"11","ENSG00000131484"
"12","ENSG00000132832"
"13","ENSG00000145063"
"14","ENSG00000146521"
"15","ENSG00000146666"
"16","ENSG00000149656"
"17","ENSG00000151303"
"18","ENSG00000153363"
"19","ENSG00000162947"
"20","ENSG00000163364"
"21","ENSG00000163915"
"22","ENSG00000166770"
"23","ENSG00000166917"
"24","ENSG00000167046"
"25","ENSG00000167459"
"26","ENSG00000167912"
"27","ENSG00000168367"
"28","ENSG00000170161"
"29","ENSG00000170919"
"30","ENSG00000170983"
"31","ENSG00000171671"
"32","ENSG00000173811"
"33","ENSG00000173862"
"34","ENSG00000174171"
"35","ENSG00000174403"
"36","ENSG00000174680"
"37","ENSG00000175147"
"38","ENSG00000175604"
"39","ENSG00000175773"
"40","ENSG00000175967"
"41","ENSG00000176320"
"42","ENSG00000176349"
"43","ENSG00000176515"
"44","ENSG00000176728"
"45","ENSG00000176754"
"46","ENSG00000176868"
"47","ENSG00000176984"
"48","ENSG00000177112"
"49","ENSG00000177133"
"50","ENSG00000177234"
"51","ENSG00000177338"
"52","ENSG00000177340"
"53","ENSG00000177369"
"54","ENSG00000177410"
"55","ENSG00000177553"
"56","ENSG00000177596"
"57","ENSG00000177725"
"58","ENSG00000177757"
"59","ENSG00000177993"
"60","ENSG00000178130"
"61","ENSG00000178248"
"62","ENSG00000178412"
"63","ENSG00000178722"
"64","ENSG00000178803"
"65","ENSG00000178977"
"66","ENSG00000179028"
"67","ENSG00000179082"
"68","ENSG00000179136"
"69","ENSG00000179141"
"70","ENSG00000179219"
"71","ENSG00000179253"
"72","ENSG00000179447"
"73","ENSG00000179577"
"74","ENSG00000179676"
"75","ENSG00000179755"
"76","ENSG00000179840"
"77","ENSG00000180139"
"78","ENSG00000180422"
"79","ENSG00000180458"
"80","ENSG00000180712"
"81","ENSG00000180846"
"82","ENSG00000180869"
"83","ENSG00000181097"
"84","ENSG00000181123"
"85","ENSG00000181171"
"86","ENSG00000181211"
"87","ENSG00000181798"
"88","ENSG00000181800"
"89","ENSG00000181908"
"90","ENSG00000182057"
"91","ENSG00000182376"
"92","ENSG00000182586"
"93","ENSG00000182776"
"94","ENSG00000182824"
"95","ENSG00000183154"
"96","ENSG00000183308"
"97","ENSG00000183470"
"98","ENSG00000183535"
"99","ENSG00000183562"
"100","ENSG00000183674"
"101","ENSG00000184068"
"102","ENSG00000184224"
"103","ENSG00000184274"
"104","ENSG00000184385"
"105","ENSG00000184441"
"106","ENSG00000184566"
"107","ENSG00000184608"
"108","ENSG00000184809"
"109","ENSG00000185186"
"110","ENSG00000185433"
"111","ENSG00000185700"
"112","ENSG00000185847"
"113","ENSG00000186056"
"114","ENSG00000186235"
"115","ENSG00000186960"
"116","ENSG00000187185"
"117","ENSG00000187229"
"118","ENSG00000187979"
"119","ENSG00000188280"
"120","ENSG00000188365"
"121","ENSG00000188511"
"122","ENSG00000188660"
"123","ENSG00000189196"
"124","ENSG00000189275"
"125","ENSG00000189295"
"126","ENSG00000189316"
"127","ENSG00000189419"
"128","ENSG00000196096"
"129","ENSG00000196243"
"130","ENSG00000196273"
"131","ENSG00000196566"
"132","ENSG00000196758"
"133","ENSG00000196893"
"134","ENSG00000196979"
"135","ENSG00000197099"
"136","ENSG00000197176"
"137","ENSG00000197180"
"138","ENSG00000197210"
"139","ENSG00000197251"
"140","ENSG00000197291"
"141","ENSG00000197301"
"142","ENSG00000197503"
"143","ENSG00000197665"
"144","ENSG00000197670"
"145","ENSG00000197815"
"146","ENSG00000197934"
"147","ENSG00000198358"
"148","ENSG00000198454"
"149","ENSG00000198468"
"150","ENSG00000198491"
"151","ENSG00000198671"
"152","ENSG00000198711"
"153","ENSG00000203258"
"154","ENSG00000203266"
"155","ENSG00000203280"
"156","ENSG00000203288"
"157","ENSG00000203325"
"158","ENSG00000203327"
"159","ENSG00000203334"
"160","ENSG00000203335"
"161","ENSG00000203356"
"162","ENSG00000203362"
"163","ENSG00000203395"
"164","ENSG00000203402"
"165","ENSG00000203441"
"166","ENSG00000203497"
"167","ENSG00000203506"
"168","ENSG00000203527"
"169","ENSG00000203585"
"170","ENSG00000203605"
"171","ENSG00000203620"
"172","ENSG00000203635"
"173","ENSG00000203643"
"174","ENSG00000203644"
"175","ENSG00000203645"
"176","ENSG00000203650"
"177","ENSG00000203684"
"178","ENSG00000203688"
"179","ENSG00000203706"
"180","ENSG00000203721"
"181","ENSG00000203739"
"182","ENSG00000203801"
"183","ENSG00000203804"
"184","ENSG00000203808"
"185","ENSG00000203865"
"186","ENSG00000203876"
"187","ENSG00000203897"
"188","ENSG00000203900"
"189","ENSG00000203930"
"190","ENSG00000203971"
"191","ENSG00000203987"
"192","ENSG00000203999"
"193","ENSG00000204044"
"194","ENSG00000204049"
"195","ENSG00000204055"
"196","ENSG00000204117"
"197","ENSG00000204241"
"198","ENSG00000204261"
"199","ENSG00000204277"
