"","pandri1","pandri2","pandri5","pandri7","pandri10"
"1","ENSG00000164621","ENSG00000116652","ENSG00000162888","ENSG00000163597","ENSG00000177640"
"2","ENSG00000175611","ENSG00000132204","ENSG00000172965","ENSG00000188242","ENSG00000204860"
"3","ENSG00000175772","ENSG00000157306","ENSG00000183250","ENSG00000196810","ENSG00000212694"
"4","ENSG00000177699","ENSG00000174365","ENSG00000197182","ENSG00000212978","ENSG00000224189"
"5","ENSG00000180861","ENSG00000179523","ENSG00000205056","ENSG00000215386","ENSG00000225733"
"6","ENSG00000182648","ENSG00000179935","ENSG00000214900","ENSG00000224116","ENSG00000226816"
"7","ENSG00000188185","ENSG00000186615","ENSG00000215068","ENSG00000226200","ENSG00000231064"
"8","ENSG00000188825","ENSG00000196951","ENSG00000215769","ENSG00000233016","ENSG00000231312"
"9","ENSG00000189229","ENSG00000197085","ENSG00000222041","ENSG00000239219","ENSG00000231607"
"10","ENSG00000196167","ENSG00000203875","ENSG00000224511","ENSG00000240859","ENSG00000247572"
"11","ENSG00000196668","ENSG00000204588","ENSG00000226380","ENSG00000241684","ENSG00000247828"
"12","ENSG00000198106","ENSG00000206337","ENSG00000233008","ENSG00000241860","ENSG00000249592"
"13","ENSG00000203392","ENSG00000214922","ENSG00000233723","ENSG00000242125","ENSG00000256028"
"14","ENSG00000203446","ENSG00000215039","ENSG00000236008","ENSG00000245750","ENSG00000258701"
"15","ENSG00000204362","ENSG00000215417","ENSG00000237037","ENSG00000245904","ENSG00000259976"
"16","ENSG00000204581","ENSG00000223749","ENSG00000241472","ENSG00000246339","ENSG00000260032"
"17","ENSG00000204706","ENSG00000223891","ENSG00000245060","ENSG00000248092","ENSG00000177822"
"18","ENSG00000205414","ENSG00000224152","ENSG00000246089","ENSG00000248323","ENSG00000228223"
"19","ENSG00000205622","ENSG00000224897","ENSG00000246273","ENSG00000248429","ENSG00000232677"
"20","ENSG00000205634","ENSG00000225411","ENSG00000247516","ENSG00000248858","ENSG00000234072"
"21","ENSG00000205740","ENSG00000225434","ENSG00000250303","ENSG00000249673","ENSG00000237187"
"22","ENSG00000205885","ENSG00000225439","ENSG00000250337","ENSG00000256546","ENSG00000238113"
"23","ENSG00000205959","ENSG00000225670","ENSG00000251364","ENSG00000257167","ENSG00000249859"
"24","ENSG00000212743","ENSG00000225684","ENSG00000253616","ENSG00000258301","ENSG00000251136"
"25","ENSG00000213468","ENSG00000226167","ENSG00000255240","ENSG00000152931","ENSG00000260244"
"26","ENSG00000213904","ENSG00000226180","ENSG00000257298","ENSG00000176593","ENSG00000261824"
"27","ENSG00000213963","ENSG00000226419","ENSG00000258334","ENSG00000186019","ENSG00000179406"
"28","ENSG00000214106","ENSG00000227398","ENSG00000258754","ENSG00000206567","ENSG00000185904"
"29","ENSG00000214188","ENSG00000227403","ENSG00000259673","ENSG00000214049","ENSG00000189223"
"30","ENSG00000214248","ENSG00000227477","ENSG00000259772","ENSG00000214145","ENSG00000223482"
