"","BLCA","BRCA","COAD","HNSC","KICH","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","STAD","THCA","UCEC"
"ENTPD1-AS1",0.0103934469386766,0.536574131504684,0.598979345046799,0.10549371611411,0.0217036086425645,6.20993542530512e-05,0.987405281372908,0.584452649577352,0.831804982952776,0.507617555002803,0.435017239738983,0.212955831142207,0.343406659079834,0.741558793276405
"RP11-96K19.4",0.430702572773752,0.52191989373864,0.819139982516359,0.354820640778084,0.129269973956462,0.326955870976479,0.67637217288709,0.275787890139601,0.515340628733467,0.0546545399432095,0.633438857800376,0.635084001800538,0.53320096834042,0.394627612550601
"CTD-2015H6.3",0.714506079608722,0.327566735046759,0.73194408832496,0.300808604237769,0.00241995641715332,0.57698168349515,0.242828619036406,0.00321721941765957,0.660532892233376,0.480391167429151,0.758745681217501,0.316948560624,0.0865462225441891,0.57918741250914
"RP5-1198O20.4",0.165586306066718,0.590950634525005,0.715600052701362,0.337656514675399,0.0147402041133891,1.33156902533646e-09,0.999225123941472,0.0627733734381243,0.364722484704132,0.915046178081097,0.747492787708175,0.609244138775928,0.0775542376367413,0.0460299097977938
"AC074117.10",0.0359693292286761,0.0688385970921635,0.0119264146227654,0.452203306645837,0.0712750517191583,0.000207551934750105,0.0419144379207312,0.000595837162772036,0.648604854982308,0.775158131519375,0.18703008802852,0.558381494313816,0.430238052349895,0.00207486912358408
"RP11-197N18.2",0.00408449818828951,0.235353937900092,0.220997393047548,0.00156675852846921,0.0835103930558033,1.74360533837485e-08,0.8747367052298,0.0012662448147062,0.283662124801238,0.624039961559585,0.54690312575644,0.951193238011294,0.405973297609259,0.827163633359817
"RP11-279F6.1",0.107051128661025,0.273396545259356,0.0407410085360883,0.555056125667265,0.311954246925554,7.50188183617272e-05,0.382062450861357,0.900840151920092,0.010535229125835,0.691211104427103,0.376483253121385,0.219054864915567,0.881834447823789,0.00930939524041948
"CTBP1-AS2",0.332134067554598,0.488674754211297,0.849885096574762,0.181427587959302,0.406391703357745,0.00295166327425725,0.856755959625254,0.359945307571666,0.0732779893918145,0.602866411847825,0.787378016143192,0.687543929024037,0.0802342265835156,0.593048430419243
"RP11-263K19.4",0.571493688498282,0.0281641799689036,0.0042737556938887,0.351244536901841,0.00363359578571673,8.91260703732171e-05,0.489393127091611,0.516247071040305,0.200440436592724,0.346882368019722,0.398302655607093,0.968699906740633,0.406185132565413,0.997935830990907
"LINC00607",0.0171574534577272,0.265369895201605,0.862560872904237,0.0883766715864374,0.597914488181665,3.7986382336774e-06,7.66187688635824e-11,0.0216650746757673,0.10006460534706,0.152361325428445,0.928522574261436,0.033214145831655,0.56417611487344,0.000110925686951075
"RP11-379K17.4",0.20171326817296,0.0900901326012937,0.67514473587653,0.452333189146143,0.36590860499517,0.462985354762153,0.589663756833199,0.00564594551309774,0.458151169167813,0.181100604332965,0.225881509914769,0.0173612566058179,0.379382280623837,0.0115091002933858
"RP1-39G22.7",0.495873148126203,0.973254846377606,0.138690110706861,0.8912745336045,0.168781931194448,0.82791813433989,0.286833360057418,0.000273751115462383,0.00546787842000964,0.343226963676756,0.962230200509426,0.797870885192329,0.496164050387026,0.0509769947631881
"RNF139-AS1",0.00978618184011066,0.332588770300506,0.35357794915978,0.443898155069693,0.010137649290261,9.49633237288575e-07,0.359044977451042,0.0422906466401042,0.970703462821679,0.916584878593322,0.305981243892488,0.178099443857086,0.87985438641408,0.00884461132596429
"RP11-597D13.9",0.775009221667504,0.980149928946825,0.724756456012608,0.00802298403119703,0.374215464592291,0.146998254736915,0.183574051554202,0.979634023489849,0.408769706740533,0.731260073801934,0.66432720145544,0.144340745459826,0.39370776058168,0.0696494845438559
"LUCAT1",0.000708020301601393,0.74487859660192,0.245071455442595,0.0595437131889368,0.0021851294873672,4.08420742154884e-08,1.33257559356766e-07,4.29634933118291e-05,0.200873948895713,0.0242703583744697,0.792728741463527,0.891967323831407,0.297967650679662,0.659561035671113
"RP11-834C11.4",0.673089250458282,0.837551563261042,0.0476162899438293,0.230712029427072,0.323337704416223,0.490302744765909,0.0867092790641855,0.628480048882776,0.23039758808069,0.211878214810988,0.499138349882258,0.0266954814989861,0.299061658322617,0.00016355883369623
"LINC00641",0.249789518751084,0.954453037145104,0.649343750390493,0.369315379456577,0.19672421569729,0.80295385485762,0.742962492016402,0.399343036333673,0.403454247780775,0.717698968434925,0.0129231475711599,0.742116815961701,0.258396261605047,0.220480727763449
"CASC2",0.699996614275219,0.508466059450355,0.706122785460928,0.648250094133758,0.886211970584362,0.0131211672211437,0.201354023952571,0.141725429847661,0.139585245806463,0.466541071340628,0.961106576325876,0.558018872259658,0.0812172414425035,0.185783454229701
"SH3BP5-AS1",0.000465422068851027,0.00850245115034522,0.623306164139043,0.00181413522407059,0.0194285544295039,0.0184857685875479,0.433521216749236,0.424128612535451,0.00792393243212963,0.914812361937915,0.223053155033634,0.708972583496386,0.494512493957772,0.134228489032816
"OTUD6B-AS1",0.482674878620352,0.00103321224403411,0.698796857853579,0.117867759267157,0.0226072872390819,3.05496795722664e-05,0.102700870846667,0.0172456326700174,0.379691225858841,0.922596366474831,0.420057824829299,0.972434691507086,0.569021463054487,0.0294429437539888
"SNHG17",0.461209247848079,0.901429353082898,0.0889842321969608,0.423287976096716,0.0833199604682768,3.6154015309186e-09,0.0236237569577448,0.0130182306766139,0.477981507760404,0.835568839567624,0.0505526623222816,0.412083397152628,0.187201924645914,0.11300147299763
"PAX8-AS1",0.575326182432782,0.359901598284735,0.488347872782847,0.0329228667289274,0.00615174329372114,0.0588982442965318,0.148166814837634,0.751418944044997,0.758816694691644,0.400409842234292,0.586118909826117,0.924088794697225,0.0104693681063434,0.0234624314362901
"TMPO-AS1",0.438591393040459,0.662192239626873,0.131603976666439,0.57795977091501,0.00019204925133545,4.59553210283482e-08,0.000262854520776471,0.052316186827112,0.000133679117299819,0.581067256502741,0.172027517911154,0.652291098095914,0.840490543972316,0.0131911314537958
"AC016747.3",0.896153693537731,0.232965998850836,0.546868395116286,0.340539032357677,0.00801542769526144,0.0523115348667228,0.98054427577877,0.000273346237455749,0.59583887857165,0.786761999721203,0.894073553441461,0.254481852796279,0.63826977346673,0.626101375765033
"RP11-383H13.1",0.00109680491206846,0.2321691770276,0.657145827267027,0.00327252689094545,0.00323287626163303,0.502272031149076,0.033068032629795,1.91983236404255e-06,0.127743462318232,0.751671194374709,0.42164851471736,0.0302841015172584,0.101038808036117,0.385028823450295
"ADAMTS9-AS2",0.0910968515430762,0.216141799359373,0.781267024759899,0.542534509024003,0.588098406714068,2.60171060432084e-05,0.4195412671051,0.599723241336116,0.0289059721530909,0.100053279932024,0.971666289762549,0.101911787178947,0.0674660693487265,0.872297649000226
"MIR600HG",0.156527391193941,0.426228993432324,0.0226703335572837,0.02025652923302,0.44365360427482,0.0474105380270113,0.187668952463003,0.121943598925937,0.0591908040099252,0.79564214566447,0.219246635088897,0.991811413014012,0.987768070362938,0.0366150953121545
"GABPB1-AS1",0.807464747216523,0.604928264328711,0.0543092684530065,0.305216070799899,0.329487546353099,0.0388698514313875,0.239506699513457,0.164295985595032,0.530504230939071,0.0843677378946538,0.194175548624004,0.48562154696655,0.0195695326245826,0.477776465022807
"NUTM2A-AS1",0.180393751921794,0.0742483362452876,0.771487408247092,0.0172249560530496,0.0107243443780419,0.101908077995215,0.127772443292117,0.0302213110727843,0.748151907225658,0.118050345259869,0.222492545404797,0.595733997071906,0.919805538114523,0.460785671922588
"LINC00657",0.5421749739998,0.341238777771229,0.916790282931046,0.524500579651743,0.993530549958862,7.92278733741598e-05,0.613123381623632,0.185455397812022,0.350603962530715,0.74299178508605,0.24687128663207,0.694299244399914,0.131485416673421,0.0615243683350417
"RP11-553L6.5",0.509474749193511,0.350688656148821,0.11070151199408,0.101046405729809,0.321947730100965,0.186999749947714,0.181466339401054,0.732145801666035,0.992925525792384,0.488728617925757,0.812612390748846,0.130989563076431,0.835176647092671,0.0865262317801761
"LINC00894",0.0526024592865542,0.778815650292054,0.19690277675503,0.194267364725804,0.197239132516714,1.24153504765778e-05,0.400229708313718,0.456155203978996,0.546109493244012,0.280673267542631,0.173224018607346,0.608422031555203,0.490540309769138,0.633406065285062
"SNHG7",0.0366460396534194,0.335389670137307,0.0022685767449259,0.256412690439251,0.534774498542058,0.133022827376211,0.277222719646996,0.00903148957411314,0.0931697444701943,0.641957657938324,0.382878120898072,0.816677251872319,0.250816863979257,0.443588554352185
"RP11-108M9.3",0.0337106013428525,0.306631993962887,0.729367665528163,0.734335418271427,0.791865387242014,6.61031105671351e-05,0.12845493537411,0.00329001634797638,0.865494004803156,0.700850722084405,0.444434198263385,0.0880941092696503,0.544135008527158,0.728195199293926
"FLJ31306",0.0244689285255878,0.214252284538079,0.151331089152813,0.229315133060082,0.00771570796534047,0.319463942552042,0.613819475322807,0.575342742380591,0.0961549749479498,0.190737006954698,0.0652869632740614,0.503528447915309,0.740561417625306,0.934800433962436
"RP11-983P16.4",0.538587168789816,0.172237556737606,0.0442021295314756,0.99070874603771,0.208017788534099,0.624539981078588,0.72076901104697,0.189291533891062,0.169695018161848,0.0779065595734192,0.205471780204904,0.161876821819738,0.50797352684217,0.579628376862581
