NAME AS PUBLISHED,GENCODE ID,Oncogene(o) or TumourSupp(t),Cancer Type CLC2,Evidence level,CLC Version Number,analysis_subtype,PMID REFERENCE,CISelement publication,Cancer Type with CIS,CIS function,CIS location mouse GRCm38/mm10,whole CIS location human hg38
AATBC,ENSG00000215458,o,urothelial,tv,1,CLC1lit,25473900,,urothelial,,,
ADAMTS9-AS2,ENSG00000241684,t,neuroepithelial lung ovarian ,tvp,1,CLC1lit,24833086 29707897 30268751 ,,neuroepithelial lung ovarian ,,,
AFAP1-AS1,ENSG00000272620,o,nasopharyngeal colon liver esophageal lung thyroid tongue stomach bile_duct ovarian gallbladder retinoblastoma pancreas breast ,ptv,1,CLC1lit,26246469  27261589  26892468  26756568  26463625  26245991  29331858  29310682 29212176  28975981  28938565  28670387 28535506 28451917 28051261  27810781  27577754 27578191 29740481 29654169 29793547 29805596 30206930 30326930 30505272 30588252 ,,nasopharyngeal colon liver esophageal lung thyroid tongue stomach bile_duct ovarian gallbladder retinoblastoma pancreas breast ,,,
ANRIL,ENSG00000240498,o,neuroepithelial breast skin blood thyroid prostate bone liver cervical nasopharyngeal pancreas kidney stomach ,gstvp,1,CLC1lit,19578367 20453838 19578363 20386740 21414664 27507052 29278879 29201225 29127494 29057547 28961506 25966845 28580310 28550682 28513871 28402230 28344092 28251886 28117929 27899255 27557514 30134922 30431129 30510148 29314442 ,,neuroepithelial breast skin blood thyroid prostate bone liver cervical nasopharyngeal pancreas kidney stomach ,,,
AOC4P,ENSG00000260105,t,liver lung ,ptv,1,CLC1lit,26160837 30008828 ,,liver lung ,,,
AP001631.9,ENSG00000236663,o,stomach,t,1,CLC1lit,26261500,,stomach,,,
APTR,ENSG00000214293,t,neuroepithelial,t,1,CLC1lit,24748121,,neuroepithelial,,,
BANCR,ENSG00000278910,ot,thyroid esophageal urothelial skin lung colon retinoblastoma stomach breast ,ptv,1,CLC1lit,27462868  27470379  27514530  22581800  24655544  25013510  25661343  25894373  26054683 29075789 26323637 29565494 ,,thyroid esophageal urothelial skin lung colon retinoblastoma stomach breast ,,,
BCAR4,ENSG00000262117,o,breast colon lung bone ,ptv,1,CLC1lit,21506106  29190958 28537678 28399646 27874956 27460090 26317614 29615150 ,,breast colon lung bone ,,,
CASC15,ENSG00000272168,o,neuroepithelial skin stomach liver blood ,pstgvm,1,CLC1lit,26100672 26016895 29272000 29207648 29075788 28724437 30013768 ,Rahrmann2013-02 ,neuroepithelial skin stomach liver blood ,NotDetermined ,13:28460034-28885620 ,chr6:21666180-22111354
CASC19,ENSG00000254166,o,lung blood breast liver gallbladder stomach bile_duct cervical neuroepithelial ovarian larynx kidney skin retinoblastoma pancreas esophageal endometrial head_and_neck nasopharyngeal colon ,gptvc,1,CLC1lit,27363682 27212446 26923190 26225650 25569100 29231252 29228867 28921383 28849215 28777430 28754469 28631575 28475287 28470345 28409554 28381168 28088735 28078015 27956498 27830017 27765628 29050269 27432114 26433964 25674211 25129441 30190462 29940756 30250403 30013670 29338818 27980086 ,,lung blood breast liver gallbladder stomach bile_duct cervical neuroepithelial ovarian larynx kidney skin retinoblastoma pancreas esophageal endometrial head_and_neck nasopharyngeal colon ,,,
CRNDE,ENSG00000245694,o,neuroepithelial neuroepithelial ovarian colon thyroid bone stomach cervical pancreas lung breast blood liver kidney urothelial ,ptv,1,CLC1lit,27383309 27058823  7042112  26231038 27058823 27714674 27822419 28086904 28178668 28276319 28469804 28472810 28477368 28490034 28493025 28594403 28796262 28940804 29152149 29194035 29243780 29246789 29299168 29710461 29864897 28550688 30230527 30554121 ,,neuroepithelial neuroepithelial ovarian colon thyroid bone stomach cervical pancreas lung breast blood liver kidney urothelial ,,,
CTBP1-AS,ENSG00000280927,o,prostate,t,1,CLC1lit,23644382,,prostate,,,
DANCR,ENSG00000226950,o,prostate colon liver neuroepithelial lung stomach breast bone pancreas nasopharyngeal ,tpv,1,CLC1lit,27191265  26617879  25964079 29301870 29266795 28951520 28760736 28642170 28618943 29717105 29753317 29635134 30519037 30518934 30555573 ,,prostate colon liver neuroepithelial lung stomach breast bone pancreas nasopharyngeal ,,,
DBH-AS1,ENSG00000225756,o,liver,t,1,CLC1lit,26393879,,liver,,,
DLEU1,ENSG00000176124,to,blood head_and_neck ovarian colon pancreas ,stvp,1,CLC1lit,23047824  12461754 28598010 28427156 30098595 30382579 ,,blood head_and_neck ovarian colon pancreas ,,,
DLEU2,ENSG00000231607,t,blood head_and_neck,sm,1,CLC1lit,23047824  12461754 ,Bard-Chapeau2014-01 ,blood head_and_neck liver ,NotDetermined ,14:61631881-61631972 14:61632027-61632110 ,chr13:50048971-50049063 chr13:50049117-50049206 
DRAIC,ENSG00000245750,t,prostate,tp,1,CLC1lit,25700553 25030374 28467474 ,,prostate,,,
