#ID	transcript_length	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
ENST00000473358.1	712	76	0.37316000000000005	11.712567710876463	1	0.0767382	noncoding
ENST00000469289.1	535	37	0.37279999999999996	8.682360267639162	1	0.0118538	noncoding
ENST00000417324.1	1187	86	0.3391	6.80814037322998	1	0.0953095	noncoding
ENST00000461467.1	590	75	0.35602999999999996	7.933366584777833	1	0.0591237	noncoding
ENST00000466430.4	2748	80	0.33747000000000005	9.746024131774899	1	0.0698832	noncoding
ENST00000495576.1	1319	54	0.38015	4.948311805725097	1	0.049184	noncoding
ENST00000477740.4	491	86	0.45424000000000003	6.415382957458497	1	0.307067	noncoding
ENST00000471248.1	629	86	0.40786999999999995	9.298484611511231	1	0.194312	noncoding
ENST00000610542.1	723	72	0.39409	5.6785791397094725	1	0.115806	noncoding
ENST00000453576.2	336	38	0.42779999999999996	4.9672960281372065	-1	0.0175004	noncoding
ENST00000484859.1	4860	91	0.28096	9.924085807800292	1	0.0672187	noncoding
ENST00000490997.4	518	41	0.39869	6.5049043655395495	1	0.0151816	noncoding
ENST00000466557.5	1301	131	0.32038	8.641616249084475	1	0.319225	noncoding
ENST00000496488.1	457	34	0.32755	5.962092018127441	1	0.00788823	noncoding
ENST00000491962.1	278	32	0.45797	9.056921577453611	1	0.0230563	noncoding
ENST00000423796.1	607	63	0.39164999999999994	9.404535102844239	1	0.0572345	noncoding
ENST00000450696.1	402	63	0.45614	9.404535102844239	1	0.134279	noncoding
ENST00000422528.1	456	47	0.35997	6.697076988220215	1	0.0154179	noncoding
ENST00000434264.5	844	49	0.40488999999999997	9.489568901062015	1	0.0343866	noncoding
ENST00000457084.1	566	49	0.3735	9.489568901062015	1	0.0257743	noncoding
ENST00000589899.4	809	49	0.36069	9.489568901062015	1	0.0235166	noncoding
ENST00000609830.1	669	49	0.40562000000000004	9.489568901062015	1	0.0346564	noncoding
ENST00000429505.4	441	87	0.34206000000000003	9.958898735046386	1	0.0951653	noncoding
ENST00000585826.1	390	22	0.40805	10.564708137512206	1	0.0128753	noncoding
ENST00000592547.1	608	27	0.37139	9.30203037261963	1	0.00879739	noncoding
ENST00000586928.4	598	42	0.34629	6.499959373474121	1	0.0112151	noncoding
ENST00000585745.4	168	4	0.41652999999999996	6.490978813171386	-1	0.0119134	noncoding
ENST00000585768.4	394	29	0.44787	11.324210166931152	1	0.0330424	noncoding
ENST00000590848.4	726	87	0.31367	9.958898735046386	1	0.0728287	noncoding
ENST00000591440.4	780	87	0.39487999999999995	9.958898735046386	1	0.178568	noncoding
ENST00000587530.4	1024	87	0.38756999999999997	9.958898735046386	1	0.162541	noncoding
ENST00000593022.4	693	87	0.41067	9.958898735046386	1	0.219989	noncoding
ENST00000589531.4	714	87	0.39016999999999996	9.958898735046386	1	0.168035	noncoding
ENST00000588951.4	607	119	0.40655	9.969149208068849	1	0.558366	coding
ENST00000586288.1	1040	87	0.34851	9.958898735046386	1	0.102014	noncoding
ENST00000591702.1	1873	169	0.34753	9.32665729522705	1	0.780458	coding
ENST00000443772.1	417	77	0.44787	9.837117958068848	-1	0.105198	noncoding
ENST00000412115.1	581	72	0.36048	4.867657279968261	1	0.117674	noncoding
ENST00000326734.2	1947	160	0.33375	9.941427803039552	1	0.590738	coding
ENST00000624927.2	677	48	0.37046	6.50592746734619	1	0.0180749	noncoding
ENST00000473798.1	1317	164	0.33929	7.724498558044433	1	0.79785	coding
ENST00000623808.2	493	26	0.36382000000000003	11.999967765808105	1	0.0128897	noncoding
ENST00000445118.5	6606	103	0.27739	5.326461601257324	1	0.301246	noncoding
ENST00000448975.5	633	92	0.34748	5.115191078186036	1	0.249167	noncoding
ENST00000610067.4	550	48	0.37403999999999993	6.50592746734619	1	0.0185986	noncoding
ENST00000608189.3	824	48	0.37082	6.50592746734619	1	0.018126	noncoding
ENST00000441765.4	750	50	0.40413	5.760370445251465	1	0.0338605	noncoding
ENST00000609139.4	455	34	0.38251	4.634674263000488	-1	0.0144837	noncoding
ENST00000449005.4	874	92	0.30594	5.298724174499512	1	0.184354	noncoding
ENST00000416570.4	612	92	0.34772000000000003	5.298724174499512	1	0.230247	noncoding
ENST00000623070.2	494	23	0.30293	7.846463203430177	1	0.00495602	noncoding
ENST00000609009.4	767	48	0.37082	6.50592746734619	1	0.018126	noncoding
ENST00000622921.1	724	25	0.35331999999999997	7.933237648010254	-1	0.0539425	noncoding
ENST00000415295.1	894	50	0.36815	5.760370445251465	1	0.0241583	noncoding
ENST00000425657.1	845	39	0.31638	8.569218254089357	1	0.0105687	noncoding
ENST00000446136.1	1807	97	0.35385	9.554553031921387	1	0.153949	noncoding
ENST00000432963.1	504	57	0.33401	9.255484199523924	1	0.0264794	noncoding
ENST00000427857.1	446	47	0.36051	10.029298210144042	1	0.0244768	noncoding
ENST00000448179.1	3043	124	0.31496	9.01018199920654	1	0.235109	noncoding
ENST00000609207.1	4152	148	0.30061000000000004	7.066018867492676	1	0.543345	coding
ENST00000417705.1	1389	129	0.31891	8.481347846984864	1	0.3026	noncoding
ENST00000432961.1	630	60	0.30726	7.785089302062988	1	0.0225082	noncoding
ENST00000606034.1	2086	210	0.33816999999999997	9.137764930725101	1	0.939656	coding
ENST00000416774.1	1620	138	0.28075	9.735064506530762	1	0.2091	noncoding
ENST00000606993.1	987	162	0.34700000000000003	8.323142433166506	1	0.776925	coding
ENST00000379317.1	3532	287	0.27877	10.221542930603025	1	0.905397	coding
ENST00000444968.1	386	10	0.36805999999999994	9.500077247619632	-1	0.0862992	noncoding
ENST00000607307.1	1523	58	0.34441	5.865238380432127	1	0.0308277	noncoding
ENST00000366221.3	2101	89	0.29816	10.053087043762208	1	0.069487	noncoding
ENST00000598846.1	5079	364	0.33213000000000004	4.9425142288208	1	0.999999	coding
ENST00000412228.1	906	188	0.33101	10.479932212829588	-1	0.166832	noncoding
ENST00000443930.1	1954	50	0.31326000000000004	4.406579399108887	1	0.0377321	noncoding
ENST00000606533.1	4196	164	0.37215	10.905101203918456	1	0.757857	coding
ENST00000607858.1	568	55	0.32673	9.1837308883667	-1	0.135533	noncoding
ENST00000449660.4	1629	119	0.31246	10.287751960754392	1	0.177561	noncoding
ENST00000443892.2	500	111	0.33606	9.267991065979004	1	0.200614	noncoding
ENST00000416860.2	3522	175	0.28428000000000003	11.628823280334473	1	0.253873	noncoding
ENST00000448624.2	808	66	0.36358	11.428584480285647	1	0.0540953	noncoding
ENST00000432521.2	3608	194	0.29566000000000003	11.877606773376463	1	0.341495	noncoding
ENST00000452793.1	569	104	0.33796	8.896008491516113	1	0.163077	noncoding
ENST00000456687.3	1297	145	0.31081000000000003	11.999967765808105	1	0.184818	noncoding
ENST00000424215.1	626	93	0.38607	6.175977134704589	1	0.258596	noncoding
ENST00000457440.1	607	59	0.40287	6.378892326354981	1	0.0475104	noncoding
ENST00000429389.1	429	55	0.36824999999999997	4.591988182067872	1	0.0561159	noncoding
ENST00000606861.1	2917	136	0.34003000000000005	9.00831241607666	1	0.440399	noncoding
ENST00000321399.6	2226	149	0.28055	9.771875953674314	1	0.261899	noncoding
ENST00000413472.4	561	45	0.41273	4.651157569885254	1	0.0469498	noncoding
ENST00000453118.4	1697	88	0.31277000000000005	10.517904090881348	1	0.0757054	noncoding
ENST00000445317.1	4247	149	0.30866000000000005	9.771875953674314	1	0.366357	noncoding
ENST00000415573.1	280	1	0.35315	5.275022315979004	-1	0.0131794	noncoding
ENST00000420957.1	435	145	0.35242	8.93281993865967	1	0.606149	coding
ENST00000321336.1	664	158	0.39609999999999995	11.70380001068115	1	0.74257	coding
ENST00000607061.1	3461	85	0.27996	10.147726631164549	1	0.0586381	noncoding
ENST00000435049.1	622	111	0.378	9.495499992370608	1	0.335922	noncoding
ENST00000443034.1	754	87	0.32145999999999997	9.552103233337402	-1	0.158816	noncoding
ENST00000413332.4	634	63	0.34682	11.999967765808105	1	0.0379516	noncoding
ENST00000442673.1	3059	80	0.32412	5.930546379089355	1	0.0840093	noncoding
ENST00000439488.1	1940	80	0.3457	5.930546379089355	1	0.0974406	noncoding
ENST00000456897.4	561	63	0.38091	9.887725639343262	1	0.0552542	noncoding
ENST00000412674.1	3242	120	0.29385	8.865257072448731	1	0.168441	noncoding
ENST00000423197.1	2077	102	0.29724	7.702160835266113	1	0.11373	noncoding
